country,country2,year,gdp,color
Argentina,other,1962,1148.169613,#ccc
Argentina,other,1963,844.725024,#ccc
Argentina,other,1964,1165.785164,#ccc
Argentina,other,1965,1271.415566,#ccc
Argentina,other,1966,1265.777345,#ccc
Argentina,other,1967,1057.328068,#ccc
Argentina,other,1968,1136.125925,#ccc
Argentina,other,1969,1323.707905,#ccc
Argentina,other,1970,1317.186989,#ccc
Argentina,other,1971,1366.118074,#ccc
Argentina,other,1972,1401.324892,#ccc
Argentina,other,1973,2083.811883,#ccc
Argentina,other,1974,2824.427666,#ccc
Argentina,other,1975,2011.421437,#ccc
Argentina,other,1976,1932.103107,#ccc
Argentina,other,1977,2111.621363,#ccc
Argentina,other,1978,2128.116083,#ccc
Argentina,other,1979,2499.956643,#ccc
Argentina,other,1980,2736.897378,#ccc
Argentina,other,1981,2755.744428,#ccc
Argentina,other,1982,2908.250929,#ccc
Argentina,other,1983,3532.450473,#ccc
Argentina,other,1984,2646.406659,#ccc
Argentina,other,1985,2914.154511,#ccc
Argentina,other,1986,3602.179183,#ccc
Argentina,other,1987,3554.877803,#ccc
Argentina,other,1988,3979.637126,#ccc
Argentina,other,1989,2382.217236,#ccc
Argentina,other,1990,4332.656387,#ccc
Argentina,other,1991,5736.020465,#ccc
Argentina,other,1992,6824.997085,#ccc
Argentina,other,1993,6971.142245,#ccc
Argentina,other,1994,9065.649524,#ccc
Argentina,other,1995,8973.321347,#ccc
Argentina,other,1996,9348.6424,#ccc
Argentina,other,1997,9939.753275,#ccc
Argentina,other,1998,10028.81193,#ccc
Argentina,other,1999,9405.790356,#ccc
Argentina,other,2000,9329.113756,#ccc
Argentina,other,2001,8732.466063,#ccc
Argentina,other,2002,3285.026171,#ccc
Argentina,other,2003,4134.50204,#ccc
Argentina,other,2004,4784.691893,#ccc
Argentina,other,2005,5767.657012,#ccc
Argentina,other,2006,6783.713975,#ccc
Argentina,other,2007,8384.187712,#ccc
Argentina,other,2008,10232.95908,#ccc
Argentina,other,2009,9456.816314,#ccc
Argentina,other,2010,11460.37615,#ccc
Argentina,other,2011,13693.70379,#ccc
Argentina,other,2012,14679.92524,#ccc
Argentina,other,2013,14715.18002,#ccc
Belize,other,1961,316.417307,#ccc
Belize,other,1962,327.1166456,#ccc
Belize,other,1963,336.9415831,#ccc
Belize,other,1964,351.1653323,#ccc
Belize,other,1965,377.5872027,#ccc
Belize,other,1966,406.1091238,#ccc
Belize,other,1967,420.4057604,#ccc
Belize,other,1968,386.953247,#ccc
Belize,other,1969,396.6576424,#ccc
Belize,other,1970,435.7011786,#ccc
Belize,other,1971,474.4480222,#ccc
Belize,other,1972,519.5716725,#ccc
Belize,other,1973,605.9334425,#ccc
Belize,other,1974,786.0750611,#ccc
Belize,other,1975,885.9779086,#ccc
Belize,other,1976,717.0507882,#ccc
Belize,other,1977,858.8155426,#ccc
Belize,other,1978,980.7731054,#ccc
Belize,other,1979,1074.249158,#ccc
Belize,other,1980,1351.013867,#ccc
Belize,other,1981,1307.211688,#ccc
Belize,other,1982,1183.183936,#ccc
Belize,other,1983,1212.938005,#ccc
Belize,other,1984,1315.313517,#ccc
Belize,other,1985,1268.221398,#ccc
Belize,other,1986,1343.87515,#ccc
Belize,other,1987,1587.08761,#ccc
Belize,other,1988,1760.142198,#ccc
Belize,other,1989,1980.443785,#ccc
Belize,other,1990,2202.322471,#ccc
Belize,other,1991,2323.903299,#ccc
Belize,other,1992,2658.592253,#ccc
Belize,other,1993,2821.084837,#ccc
Belize,other,1994,2870.106012,#ccc
Belize,other,1995,2995.872536,#ccc
Belize,other,1996,3019.523641,#ccc
Belize,other,1997,2994.261004,#ccc
Belize,other,1998,3060.52644,#ccc
Belize,other,1999,3159.699792,#ccc
Belize,other,2000,3486.164318,#ccc
Belize,other,2001,3555.660142,#ccc
Belize,other,2002,3704.536765,#ccc
