name,value,color,country2
United States,0.914,#ccc,other
Canada,0.902,#ccc,other
Chile,0.822,#ccc,other
Cuba,0.815,#ccc,other
Argentina,0.808,#ccc,other
Uruguay,0.79,#ccc,other
Bahamas,0.789,#ccc,other
Barbados,0.776,#ccc,other
Antigua and Barbuda,0.774,#ccc,other
Trinidad and Tobago,0.766,#ccc,other
Panama,0.765,#7570b3,Panama
Venezuela ,0.764,#ccc,other
Costa Rica,0.763,#1b9e77,Costa Rica
Mexico,0.756,#ccc,other
Saint Kitts and Nevis,0.75,#ccc,other
Grenada,0.744,#ccc,other
Brazil,0.744,#ccc,other
Peru,0.737,#ccc,other
Belize,0.732,#ccc,other
"St Vincent, Grenadines",0.719,#ccc,other
Dominica,0.717,#ccc,other
Jamaica,0.715,#ccc,other
Saint Lucia,0.714,#ccc,other
Ecuador,0.711,#ccc,other
Colombia,0.711,#ccc,other
Suriname,0.705,#ccc,other
Dominican Republic,0.7,#ccc,other
Paraguay,0.676,#ccc,other
Bolivia ,0.667,#ccc,other
El Salvador,0.662,#ccc,other
Guyana,0.638,#ccc,other
Guatemala,0.628,#ccc,other
Honduras,0.617,#ccc,other
Nicaragua,0.614,#d95f02,Nicaragua
Haiti,0.471,#ccc,other
